,artist_id,artist_name,external_url
49,3bO19AOone0ubCsfDXDtYt,Myles Smith,https://api.spotify.com/v1/artists/3bO19AOone0ubCsfDXDtYt
50,7CvTknweLr9feJtRGrpDBy,FloyyMenor,https://api.spotify.com/v1/artists/7CvTknweLr9feJtRGrpDBy
51,7Ez6lTtSMjMf2YSYpukP1I,Dasha,https://api.spotify.com/v1/artists/7Ez6lTtSMjMf2YSYpukP1I
52,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,https://api.spotify.com/v1/artists/12GqGscKJx3aE4t07u7eVZ
53,6pV5zH2LzjOUHaAvENdMMa,Neton Vega,https://api.spotify.com/v1/artists/6pV5zH2LzjOUHaAvENdMMa
54,0PCCGZ0wGLizHt2KZ7hhA2,Artemas,https://api.spotify.com/v1/artists/0PCCGZ0wGLizHt2KZ7hhA2
55,2loEsOijJ6XiGzWYFXMIRk,Adam Port,https://api.spotify.com/v1/artists/2loEsOijJ6XiGzWYFXMIRk
56,6XjgqvaVLUib6lCerbZrYD,Stryv,https://api.spotify.com/v1/artists/6XjgqvaVLUib6lCerbZrYD
57,26WKgv73kRHD0gEDKD1i8j,Keinemusik,https://api.spotify.com/v1/artists/26WKgv73kRHD0gEDKD1i8j
58,2yyaNPcdxZcn4iutCcLMaC,Orso,https://api.spotify.com/v1/artists/2yyaNPcdxZcn4iutCcLMaC
59,37lTKHi901VnwngQ7C8noT,Malachiii,https://api.spotify.com/v1/artists/37lTKHi901VnwngQ7C8noT
60,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C
61,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc
62,3MdXrJWsbVzdn6fe5JYkSQ,Latto,https://api.spotify.com/v1/artists/3MdXrJWsbVzdn6fe5JYkSQ
63,5MraexJKZDrQYzS98kNwie,Sevdaliza,https://api.spotify.com/v1/artists/5MraexJKZDrQYzS98kNwie
64,6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,https://api.spotify.com/v1/artists/6tzRZ39aZlNqlUzQlkuhDV
65,1QsdzIKkTT5gDFj8GB1cIX,Yseult,https://api.spotify.com/v1/artists/1QsdzIKkTT5gDFj8GB1cIX
66,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,https://api.spotify.com/v1/artists/181bsRPaVXVlUKXrxwZfHK
67,2auC28zjQyVTsiZKNgPRGs,RM,https://api.spotify.com/v1/artists/2auC28zjQyVTsiZKNgPRGs
